"","scientificName","latitude","longitude","year","month","eventDate","basisOfRecord","DB","name","decimalLatitude","decimalLongitude"
"126","Helicoverpa punctigera",-17.38,123.68,1995,5,"1995-05-09","PreservedSpecimen","ALA",NA,NA,NA
"127","Helicoverpa punctigera",-18.1,127.78,1995,5,"1995-05-11","PreservedSpecimen","ALA",NA,NA,NA
"128","Helicoverpa punctigera",-12.61,131.1,1995,5,"1995-05-15","PreservedSpecimen","ALA",NA,NA,NA
"129","Helicoverpa punctigera",-31.3,131.233333333333,1984,5,"1984-05-21","PreservedSpecimen","ALA",NA,NA,NA
"130","Helicoverpa punctigera",-31.3,131.233333333333,1984,5,"1984-05-21","PreservedSpecimen","ALA",NA,NA,NA
"131","Helicoverpa punctigera",-31.25,120.083333333333,1984,5,"1984-05-09","PreservedSpecimen","ALA",NA,NA,NA
"132","Helicoverpa punctigera",-16.0833333333333,126.5,1993,5,"1993-05-20","PreservedSpecimen","ALA",NA,NA,NA
"133","Helicoverpa punctigera",-34.96810913,138.6311951,1955,5,"1955-05-15","PreservedSpecimen","ALA",NA,NA,NA
"134","Helicoverpa punctigera",-34.96810913,138.6311951,1955,5,"1955-05-15","PreservedSpecimen","ALA",NA,NA,NA
"135","Helicoverpa punctigera",-34.96810913,138.6311951,1955,5,"1955-05-15","PreservedSpecimen","ALA",NA,NA,NA
"136","Helicoverpa punctigera",-34.96810913,138.6311951,1955,5,"1955-05-15","PreservedSpecimen","ALA",NA,NA,NA
"137","Helicoverpa punctigera",-22.72443,117.87638,2004,5,"2004-05-26","PreservedSpecimen","ALA",NA,NA,NA
"138","Helicoverpa punctigera",-22.72443,117.87638,2004,5,"2004-05-26","PreservedSpecimen","ALA",NA,NA,NA
"139","Helicoverpa punctigera",-26.4443374,152.6819622,2014,8,"2014-08-18","HumanObservation","ALA",NA,NA,NA
"140","Helicoverpa punctigera",-34.96810913,138.6311951,1965,8,"1965-08-13","PreservedSpecimen","ALA",NA,NA,NA
"141","Helicoverpa punctigera",-34.58333206,138.5166931,1985,8,"1985-08-26","PreservedSpecimen","ALA",NA,NA,NA
